FID,Join_Count,TARGET_FID,FID_1,GEOID,PerOpSpc,OpSpcZSc,FoodScr,FodScZSc,TranRatScr,TranScZSc,VtPaZSc,IntAcZSc,AvgRdScr,AvRdZSc,AccComScr,AvgNuiScr,AvNuZSc,AvgCrScr,AvCrZSc,UTCScr,UTCZSc,MedHmVa,MeHmVZSc,LifExRts,LifZSc,CosBuZSc,LivComScr,GradRt,GrdRtZSc,AvgStMoRt,StuMoZSc,AvgTestPer,TesZSc,PerBacMo,BaAtZSc,EduComScr,JobScrRts,JobZSc,UmRt,UnRtZSc,PerStrg,StugZSc,MedHHInc,MeHHInZSc,EmpComScr,OverComSc,AccIndCls,LivIndCls,EduIndCls,EcoIndCls,OveIndCls,SHAPE_Leng,SHAPE_Area,Id,Input_FID,Export_Out,Export_O_1,Export_O_2,Export_O_3,Export_O_4,Export_O_5,Export_O_6,Export_O_7,Export_O_8,Export_O_9,Export__10,Export__11
120,1,120,121,530530607001,1.198000968,0.9674530431,0.9794544785,-0.5525608471,1.011122346,-0.1754275728,0.8348454521,1.143184302,31.77967,-0.6908677535,0.2544377706,1097.26,-0.1793591754,972.395,-0.04578971684,0.29,0.6131984292,322800,0.9369707497,81.47,0.7369411011,-0.1454742931,0.3194145158,94.98554528,1.149269801,8.53762,0.56762375,57.4754,1.114448462,62.5,2.294978014,1.281580007,0.188253012,-0.2946202492,0,1.339388552,8.190091001,1.487349987,71250,0.5481898922,0.7700770454,0.6563773346,High,High,Very High,Very High,Very High,3410.146195,678466.5,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
121,1,121,122,530530607002,0.7749959826,-0.1030207361,0.8926271668,-0.6403030879,0.8558261863,-0.2372842916,0.917999525,0.2940454538,34.47114284,-0.480250755,-0.04146898196,876.16,0.07689619932,809.13,0.1455601503,0.19,-0.1166205602,247300,0.1452291959,81.47,0.7369411011,0.1197414396,0.1846245877,94.98529816,1.149231925,10.0733,0.02013289453,49.9,0.5032873208,60.48109966,2.162032842,0.9586712457,0.06055900621,-0.3136094677,3.881987578,0.6661135923,23.49344978,0.620167017,60250,0.07045044918,0.2607803977,0.3406518123,Moderate,High,High,High,High,3401.157421,670609,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
1,1,1,2,530530607003,0.5024240017,-0.7928025803,1.168008484,-0.3620199835,0.6005437091,-0.338967015,0.475450437,0.2919844372,32.37597931,-0.6442045009,-0.2284265342,1606.2,-0.7692217282,2016.91,-1.269982327,0.17,-0.262584358,296500,0.6611720363,81.47,0.7369411011,-0.1736442746,-0.1795532584,94.93167595,1.141013414,10.092,0.01346608959,49.8825,0.5018754719,53.00546448,1.669760104,0.8315287699,0.5441860465,-0.2416898854,9.023255814,-0.2255655008,31.25423729,0.1803950071,66344,0.3351181006,0.01206443039,0.1089033519,Low,Moderate,High,Moderate,High,3621.88963,637076.5,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
72,1,72,73,530530607004,1,0.4663836667,1.295281061,-0.2334062913,0.8710801394,-0.2312084203,0.9237390577,0.2858013873,38.87680443,-0.1354925968,0.1793028006,1066.44,-0.1436387293,916.39,0.01984927077,0.17,-0.262584358,327800,0.9894039652,81.47,0.7369411011,0.3002805087,0.2733752931,94.93036026,1.140811762,7.39536,0.9748550121,60.1714,1.331953866,48.93617021,1.4017959,1.212354135,0.5138211382,-0.2462054135,0,1.339388552,23.51916376,0.6187099814,84764,1.135114513,0.7117519083,0.5941960343,High,High,Very High,Very High,Very High,4945.499348,811760.5,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
73,1,73,74,530530607005,1.00253769,0.4728056494,1.886122084,0.3636606256,0.6941335339,-0.3016888267,0.3740866017,0.7557131769,27.55186112,-1.021708326,0.1071448168,299.387,0.7453773448,604.07,0.385894599,0.22,0.1023251367,304200,0.7419191881,81.47,0.7369411011,1.020935744,0.6222321856,94.98504703,1.149193437,6.53142,1.2828614,64.4956,1.68081769,52.94117647,1.66552672,1.444599812,2.951111111,0.1162409807,18.07407407,-1.795299864,57.65957447,-1.315889955,70333,0.508363795,-0.6216462606,0.3880826384,High,Very High,Very High,Very Low,High,4822.463538,1125384,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
34,1,34,35,530530607006,1,0.4663836667,2.726058796,1.212448038,2.583739816,0.4509688371,0.705106658,0.7680792767,39.94877379,-0.05160731148,0.5918965275,562.81,0.4400695222,519.985,0.484443912,0.19,-0.1166205602,255100,0.2270250121,81.47,0.7369411011,1.379959308,0.5253030491,94.98557211,1.149273914,6.89988,1.151500387,61.6514,1.451355943,71.57894737,2.892829323,1.661239892,0.1403061224,-0.3017503721,19.89795918,-2.111626526,17.04781705,0.9854149818,57857,-0.03347959511,-0.3653603778,0.6032697726,Very High,High,Very High,Low,Very High,3488.027908,642388,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
74,1,74,75,530530608001,0.5282679796,-0.7274007488,2.585076272,1.069979933,1.631597626,0.07171675545,1.006697203,1.151428368,34.14256001,-0.5059634905,0.34440967,723.17,0.2542119378,447.516,0.5693790391,0.2,-0.04363866122,302500,0.7240918949,79.84,0.3090232286,0.06200486535,0.3125120508,96.16824148,1.330538012,5.53363,1.638587138,59.9696,1.315673232,38.82352941,0.735875579,1.25516849,0.1611650485,-0.2986484669,0,1.339388552,14.33121019,1.139350057,87701,1.262670945,0.8606902715,0.6931951207,Very High,High,Very High,Very High,Very High,4264.128978,772365,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
68,1,68,69,530530608002,0.4084709883,-1.030563933,2.868129833,1.356016127,2.736858582,0.5119582687,0.6874904417,1.137001252,38.74190725,-0.1460487649,0.4193088985,730.52,0.245693272,738.405,0.2284512743,0.17,-0.262584358,275700,0.4430498599,79.84,0.3090232286,0.10110782,0.1774568495,96.16850281,1.330578066,5.53883,1.636733267,59.9254,1.312107305,36.15520282,0.5601655014,1.209896035,1.233727811,-0.1391489777,0,1.339388552,10.03289474,1.382920027,61221,0.1126218127,0.6739453534,0.620151784,Very High,High,Very High,Very High,Very High,4288.04799,795159,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
76,1,76,77,530530608003,0.2543820143,-1.420507816,2.737916898,1.224431093,1.890814548,0.1749666254,1.051230444,1.153489385,40.41160923,-0.01538884769,0.3613701474,649.675,0.3393928006,857.04,0.08940866572,0.16,-0.335566257,232400,-0.01102178622,79.84,0.3090232286,2.398322547,0.4649265332,96.16698034,1.330344722,5.53434,1.638334013,59.9739,1.316020143,27.81569966,0.0110068066,1.073926421,0.820610687,-0.200583117,0,1.339388552,19.79522184,0.8297309875,85441,1.164517205,0.7832634067,0.6708716271,Very High,High,Very High,Very High,Very High,4250.016912,764700,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
125,1,125,126,530530608004,0.2556520104,-1.417293911,2.528210014,1.012514456,1.788539338,0.1342289218,0.7863936541,0.001381093612,43.00026744,0.1871825528,0.1174011278,486.649,0.5283402847,385.947,0.6415391467,0.18,-0.1896024591,225000,-0.08862294514,79.84,0.3090232286,0.2251889584,0.237644369,96.16549726,1.330117414,5.99123,1.475446499,60.2338,1.336988116,31.34657837,0.2435161905,1.096517055,0.5746268657,-0.2371630686,4.47761194,0.562811106,41.24293785,-0.385623008,50139,-0.3686789607,-0.1071634828,0.3360997673,High,High,Very High,Moderate,High,4236.014211,753032,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
